code;name;province;population;pop_men;pop_women;pop_0_14;pop_15_24;pop_25_44;pop_45_64;pop_65plus;origin_native;origin_west;origin_non_west
0867;Waalwijk;Noord-Brabant;46495;23155;23340;16;11;25;29;19;85;8;7
0870;Werkendam;Noord-Brabant;26385;13165;13220;19;12;23;28;18;95;3;2
0873;Woensdrecht;Noord-Brabant;21620;10845;10775;15;11;22;31;22;80;17;3
0874;Woudrichem;Noord-Brabant;14425;7210;7215;18;12;23;30;17;94;4;2
0879;Zundert;Noord-Brabant;21400;10985;10410;14;12;22;32;19;84;13;3
0880;Wormerland;Noord-Holland;15775;7860;7915;16;12;21;30;21;88;6;6
0881;Onderbanken;Limburg;7880;3925;3955;14;11;20;34;21;80;18;2
0882;Landgraaf;Limburg;37570;18495;19075;13;10;21;34;21;77;20;3
0888;Beek;Limburg;16270;7890;8380;14;11;20;33;22;86;10;4
0889;Beesel;Limburg;13615;6860;6755;16;11;22;32;19;84;11;5
0893;Bergen (L.);Limburg;13235;6640;6595;15;11;20;34;20;85;13;2
0899;Brunssum;Limburg;28955;14115;14840;14;10;22;32;22;75;20;5
0907;Gennep;Limburg;17285;8810;8475;16;11;22;31;19;86;10;4
0917;Heerlen;Limburg;88260;43780;44480;13;11;24;31;21;72;19;9
0928;Kerkrade;Limburg;46785;23325;23460;13;9;22;33;22;68;27;5
0935;Maastricht;Limburg;122485;58855;63635;11;19;24;27;19;72;19;9
0938;Meerssen;Limburg;19255;9480;9770;14;10;19;33;24;89;9;2
0944;Mook en Middelaar;Limburg;7795;3860;3935;15;11;17;33;23;87;10;3
0946;Nederweert;Limburg;16750;8435;8315;15;12;21;33;19;92;6;2
0951;Nuth;Limburg;15580;7695;7885;13;11;20;32;24;87;11;2
0957;Roermond;Limburg;56930;28125;28800;15;11;26;30;18;72;15;13
0962;Schinnen;Limburg;12900;6435;6465;14;10;20;33;23;85;13;2
0965;Simpelveld;Limburg;10845;5375;5465;14;10;21;32;23;83;16;1
0971;Stein;Limburg;25390;12610;12775;14;10;21;33;23;87;11;2
0981;Vaals;Limburg;9685;4780;4905;11;10;19;35;25;52;44;4
0983;Venlo;Limburg;100425;49890;50540;15;11;24;30;19;74;15;11
0984;Venray;Limburg;43110;21770;21340;17;11;23;31;18;81;10;9
0986;Voerendaal;Limburg;12455;6195;6255;14;10;19;33;24;87;11;2
