PC4;X;Y
1094;124281.329744551;486257.738746795
1095;125658.166450954;486390.69166703
1096;122924.285551952;483014.30517256
1097;123918.963045089;484237.92041875
1098;124954.086106422;484950.555506973
1101;124546.218826174;480111.650572483
1102;125561.551593067;480961.896795378
1103;126896.527510697;481754.750013452
1104;127142.218431874;481096.068318739
1105;125860.559409743;477427.294368566
1106;127356.069598363;479136.776018963
1107;127308.204308136;478188.317199243
1108;128299.943374253;479775.043079734
1109;129725.847683922;479821.018502297
1111;127796.343633252;483850.177396149
1112;126548.718740053;482580.880099286
1113;127212.366430514;484478.833607251
1114;123608.000064617;482227.99691571
1115;124659.77210316;482707.793622907
1117;115247.238463678;480066.587006667
1118;112720.537961585;480076.031192317
1119;112240.629743851;477154.937677958
1121;123472.496356395;495822.157783283
1127;122409.87850067;496805.730048576
1131;133193.318284574;500910.040435284
1132;132947.185331408;501872.965007606
1135;132572.357252409;502425.996058978
1141;130470.231423926;496311.156704601
1145;131788.800236571;499254.541991429
1151;129196.866673696;494152.046940869
1153;130968.392040611;493921.834796288
1154;132649.406792453;492203.958523181
1156;135091.795860163;495359.847325203
1161;110661.716243059;487376.608231161
1165;110313.797502442;489834.378946398
1171;113272.959810737;482324.873729176
1175;111480.746974324;484348.547661261
1181;119094.783876453;480322.661836544
1182;117614.203258691;481079.141358691
1183;121074.743869421;480586.976921252
1184;121313.701033566;478907.534480245
1185;118214.361305473;478212.63485932
1186;119427.580723762;477546.285865148
1187;116594.763847556;477263.890179887
1188;119826.74076811;474542.958904954
1189;119876.438725455;474812.08043
1191;122585.326638983;476721.537298048
1211;140459.140759105;470645.784215361
1212;141853.74100956;469786.880981137
1213;140219.815724864;468394.204059831
1214;140195.075928209;469661.579947612
1215;139155.683558686;469643.775160146
1216;138272.493680417;469970.27364
1217;139160.405134708;472396.883166792
1218;137830.534156914;475596.050786172
1221;141339.151443672;471170.273392692
1222;141304.242174357;473261.660715021
1223;142512.093147253;471211.817164347
1231;132933.361936371;468497.478870378
1241;134107.061310625;470949.263699479
1243;137394.542515107;473124.293746674
1244;135338.078669506;475538.343879898
1251;143664.375797944;473568.120392803
1252;144542.96028972;472927.397228972
1261;146015.500112196;476726.709325121
1262;147667.715355856;478301.447888288
1271;144878.287836106;478968.01485649
1272;143295.528718457;477762.303492562
1273;146160.977072452;479231.973793526
1274;146832.656881455;478802.764337803
1275;146514.77575027;478067.030028649
1276;145546.335808931;478381.976418595
1277;147454.478586526;478676.08374379
1309;140779.416545796;489386.921099115
1311;140940.762964762;486834.607448254
1312;141731.971937216;487468.613856127
1313;142132.661183385;488205.871184308
1314;143270.065800534;487978.030625623
1315;143540.260079794;487139.313330928
1316;143886.621449312;489039.352845932
1317;144534.500126353;488883.069576706
1318;145183.061868807;488527.36535711
1319;140642.834389299;488906.828027306
1321;141052.420119127;485363.902218792
1322;141012.643613043;484276.740046195
1323;141884.513577366;486399.538309053
1324;143279.196480891;486093.230298276
1325;144650.851295882;486666.24944098
1326;145827.95197465;486801.452895455
1327;146010.340027247;485651.783679494
1328;146477.816036652;487165.640303167
1329;147406.062920576;486871.447426337
1331;147025.880351724;492542.054258934
1332;145016.755766489;491570.641089096
1333;146851.619615128;489774.250272692
1334;147436.440733687;489604.653335544
1335;148315.247383677;490525.68055567
1336;151789.972095734;493676.576751687
1338;147976.259889616;488700.991051467
1339;149183.569952456;489578.971110877
1341;148571.329976667;485021.195533684
1343;149036.439233641;484282.325929263
1349;150402.575084689;483775.184281579
1351;143265.517126917;484534.15919168
1352;143201.487221294;484013.202570081
1353;141753.594152091;483140.273632927
1354;143500.940183728;483387.607046154
1355;144186.266894303;483919.661230845
1356;144898.510677778;483503.764637736
1357;145238.109124395;482475.686213035
1358;147702.260604654;482910.61178933
1359;142187.603512055;483952.29001589
1361;138460.205132667;485429.456098222
1362;139962.457944467;483701.43428627
1363;138801.54023568;485225.55343932
1381;133415.137870688;479290.475736296
1382;131725.329608696;481137.179326599
1383;132388.413292321;477668.123473671
